admission_id	time_key	location_key	university_key	batch_key	type_key	candidate_key	avg_score	min_score	control_score
1	2014	LOC001	UNI0816	BAT014	TYP019	CAN004	437.0		
2	2014	LOC002	UNI0816	BAT014	TYP019	CAN004	429.0		
3	2014	LOC001	UNI0128	BAT005	TYP019	CAN003	599.0	591.0	
4	2014	LOC001	UNI0128	BAT005	TYP019	CAN004	630.0	613.0	
5	2014	LOC002	UNI0128	BAT005	TYP019	CAN003	634.0	626.0	
6	2014	LOC002	UNI0128	BAT005	TYP019	CAN004	638.0	624.0	
7	2014	LOC003	UNI0128	BAT005	TYP019	CAN003	588.0	575.0	
8	2014	LOC003	UNI0128	BAT005	TYP019	CAN004	578.0	562.0	
9	2014	LOC002	UNI0972	BAT007	TYP019	CAN003	560.0		
10	2014	LOC001	UNI0972	BAT005	TYP019	CAN004	587.0		
11	2014	LOC001	UNI0972	BAT005	TYP019	CAN003	579.0		
12	2014	LOC002	UNI0972	BAT007	TYP019	CAN004	524.0		
13	2014	LOC003	UNI0972	BAT005	TYP019	CAN004	542.0		
14	2014	LOC003	UNI0972	BAT005	TYP019	CAN003	546.0		
15	2014	LOC002	UNI0972	BAT005	TYP019	CAN003	611.0		
16	2014	LOC002	UNI0972	BAT005	TYP019	CAN004	606.0		
17	2014	LOC002	UNI1064	BAT005	TYP019	CAN004	584.0	575.0	
18	2014	LOC002	UNI1064	BAT005	TYP019	CAN003	593.0	589.0	
19	2014	LOC002	UNI1064	BAT005	TYP019	CAN008	367.0	325.0	
20	2014	LOC001	UNI0306	BAT005	TYP019	CAN004	609.0	602.0	
21	2014	LOC002	UNI0306	BAT005	TYP019	CAN003	608.0	596.0	
22	2014	LOC003	UNI0306	BAT005	TYP019	CAN004	562.0	533.0	
23	2014	LOC002	UNI0306	BAT005	TYP019	CAN004	635.0	617.0	
24	2014	LOC003	UNI0306	BAT005	TYP019	CAN003	534.0	523.0	
25	2014	LOC001	UNI0303	BAT008	TYP019	CAN004	516.0		
26	2014	LOC002	UNI0303	BAT005	TYP019	CAN003	579.0		
27	2014	LOC002	UNI0303	BAT005	TYP019	CAN004	549.0		
28	2014	LOC001	UNI0773	BAT008	TYP019	CAN004	440.0		
29	2014	LOC002	UNI0773	BAT008	TYP019	CAN003	548.0		
30	2014	LOC002	UNI0773	BAT008	TYP019	CAN004	513.0		
