university_key	university_name	university_province
UNI0001	三亚中瑞酒店管理职业学院	海南
UNI0002	三亚城市职业学院	海南
UNI0003	三亚学院	海南
UNI0004	三亚理工职业学院	海南
UNI0005	三亚航空旅游职业学院	海南
UNI0006	三峡大学	湖北
UNI0007	三峡大学科技学院	湖北
UNI0008	三峡旅游职业技术学院	湖北
UNI0009	三峡电力职业学院	湖北
UNI0010	三明医学科技职业学院	福建
UNI0011	三明学院	福建
UNI0012	三江学院	江苏
UNI0013	三门峡职业技术学院	河南
UNI0014	上海东海职业技术学院	上海
UNI0015	上海中侨职业技术大学	上海
UNI0016	上海中医药大学	上海
UNI0017	上海交通大学	上海
UNI0018	上海交通职业技术学院	上海
UNI0019	上海体育学院	上海
UNI0020	上海健康医学院	上海
UNI0021	上海农林职业技术学院	上海
UNI0022	上海出版印刷高等专科学校	上海
UNI0023	上海商学院	上海
UNI0024	上海城建职业学院	上海
UNI0025	上海外国语大学	上海
UNI0026	上海外国语大学贤达经济人文学院	上海
UNI0027	上海大学	上海
UNI0028	上海对外经贸大学	上海
UNI0029	上海工商外国语职业学院	上海
UNI0030	上海工商职业技术学院	上海
UNI0031	上海工程技术大学	上海
UNI0032	上海师范大学	上海
UNI0033	上海师范大学天华学院	上海
UNI0034	上海应用技术大学	上海
UNI0035	上海建桥学院	上海
UNI0036	上海思博职业技术学院	上海
UNI0037	上海政法学院	上海
UNI0038	上海旅游高等专科学校	上海
UNI0039	上海杉达学院	上海
UNI0040	上海民航职业技术学院	上海
UNI0041	上海济光职业技术学院	上海
UNI0042	上海海事大学	上海
UNI0043	上海海事职业技术学院	上海
UNI0044	上海海关学院	上海
UNI0045	上海海洋大学	上海
UNI0046	上海理工大学	上海
UNI0047	上海电力大学	上海
UNI0048	上海电子信息职业技术学院	上海
UNI0049	上海电机学院	上海
UNI0050	上海科学技术职业学院	上海
UNI0051	上海科技大学	上海
UNI0052	上海立信会计金融学院	上海
UNI0053	上海立达学院	上海
UNI0054	上海第二工业大学	上海
UNI0055	上海纽约大学	上海
UNI0056	上海行健职业学院	上海
UNI0057	上海财经大学	上海
UNI0058	上海财经大学浙江学院	浙江
UNI0059	上海邦德职业技术学院	上海
UNI0060	上海震旦职业学院	上海
UNI0061	上饶师范学院	江西
UNI0062	上饶幼儿师范高等专科学校	江西
UNI0063	上饶职业技术学院	江西
UNI0064	东北农业大学	黑龙江
UNI0065	东北大学	辽宁
UNI0066	东北大学秦皇岛分校	河北
UNI0067	东北师范大学	吉林
UNI0068	东北师范大学人文学院	吉林
UNI0069	东北林业大学	黑龙江
UNI0070	东北电力大学	吉林
UNI0071	东北石油大学	黑龙江
UNI0072	东北财经大学	辽宁
UNI0073	东华大学	上海
UNI0074	东华理工大学	江西
UNI0075	东华理工大学长江学院	江西
UNI0076	东南大学	江苏
UNI0077	东南大学成贤学院	江苏
UNI0078	东莞理工学院	广东
UNI0079	东莞理工学院城市学院	广东
UNI0080	东莞职业技术学院	广东
UNI0081	中北大学	山西
UNI0082	中北大学信息商务学院	山西
UNI0083	中华女子学院	北京
UNI0084	中南大学	湖南
UNI0085	中南林业科技大学	湖南
UNI0086	中南林业科技大学涉外学院	湖南
UNI0087	中南民族大学	湖北
UNI0088	中南财经政法大学	湖北
UNI0089	中原工学院	河南
UNI0090	中原工学院信息商务学院	河南
UNI0091	中国人民公安大学	北京
UNI0092	中国人民大学	北京
UNI0093	中国人民大学（苏州校区）	江苏
UNI0094	中国人民解放军战略支援部队信息工程大学	河南
UNI0095	中国人民解放军陆军工程大学	江苏
UNI0096	中国人民警察大学	河北
UNI0097	中国传媒大学	北京
UNI0098	中国传媒大学南广学院	江苏
UNI0099	中国农业大学	北京
UNI0100	中国刑事警察学院	辽宁
UNI0101	中国劳动关系学院	北京
UNI0102	中国医科大学	辽宁
UNI0103	中国地质大学（北京）	北京
UNI0104	中国地质大学（武汉）	湖北
UNI0105	中国政法大学	北京
UNI0106	中国民用航空飞行学院	四川
UNI0107	中国民航大学	天津
UNI0108	中国海洋大学	山东
UNI0109	中国消防救援学院	北京
UNI0110	中国石油大学胜利学院	山东
UNI0111	中国石油大学（北京）	北京
UNI0112	中国石油大学（北京）克拉玛依校区	新疆
UNI0113	中国石油大学（华东）	山东
UNI0114	中国矿业大学	江苏
UNI0115	中国矿业大学徐海学院	江苏
UNI0116	中国矿业大学银川学院	宁夏
UNI0117	中国矿业大学（北京）	北京
UNI0118	中国社会科学院大学	北京
UNI0119	中国科学技术大学	安徽
UNI0120	中国药科大学	江苏
UNI0121	中国计量大学	浙江
UNI0122	中国计量大学现代科技学院	浙江
UNI0123	中国青年政治学院	北京
UNI0124	中央司法警官学院	河北
UNI0125	中央戏剧学院	北京
UNI0126	中央民族大学	北京
UNI0127	中央财经大学	北京
UNI0128	中山大学	广东
UNI0129	中山大学南方学院	广东
UNI0130	中山大学新华学院	广东
UNI0131	中山火炬职业技术学院	广东
UNI0132	中山职业技术学院	广东
UNI0133	临夏现代职业学院	甘肃
UNI0134	临汾职业技术学院	山西
UNI0135	临沂大学	山东
UNI0136	丽水学院	浙江
UNI0137	丽水职业技术学院	浙江
UNI0138	丽江师范高等专科学校	云南
UNI0139	义乌工商职业技术学院	浙江
UNI0140	乌鲁木齐职业大学	新疆
UNI0141	乐山师范学院	四川
UNI0142	乐山职业技术学院	四川
UNI0143	九州职业技术学院	江苏
UNI0144	九江学院	江西
UNI0145	九江职业大学	江西
UNI0146	九江职业技术学院	江西
UNI0147	云南中医药大学	云南
UNI0148	云南交通职业技术学院	云南
UNI0149	云南农业大学	云南
UNI0150	云南农业职业技术学院	云南
UNI0151	云南医药健康职业学院	云南
UNI0152	云南国土资源职业学院	云南
UNI0153	云南国防工业职业技术学院	云南
UNI0154	云南城市建设职业学院	云南
UNI0155	云南外事外语职业学院	云南
UNI0156	云南大学	云南
UNI0157	云南大学旅游文化学院	云南
UNI0158	云南大学滇池学院	云南
UNI0159	云南工商学院	云南
UNI0160	云南工程职业学院	云南
UNI0161	云南师范大学	云南
UNI0162	云南师范大学商学院	云南
UNI0163	云南师范大学文理学院	云南
UNI0164	云南机电职业技术学院	云南
UNI0165	云南林业职业技术学院	云南
UNI0166	云南民族大学	云南
UNI0167	云南特殊教育职业学院	云南
UNI0168	云南经济管理学院	云南
UNI0169	云南能源职业技术学院	云南
UNI0170	云南艺术学院	云南
UNI0171	云南警官学院	云南
UNI0172	云南财经大学	云南
UNI0173	云南财经职业学院	云南
UNI0174	五邑大学	广东
UNI0175	井冈山大学	江西
UNI0176	亳州学院	安徽
UNI0177	仙桃职业学院	湖北
UNI0178	仲恺农业工程学院	广东
UNI0179	伊春职业学院	黑龙江
UNI0180	伊犁师范大学	新疆
UNI0181	佛山科学技术学院	广东
UNI0182	佳木斯大学	黑龙江
UNI0183	保定学院	河北
UNI0184	保定幼儿师范高等专科学校	河北
UNI0185	保定理工学院	河北
UNI0186	保定电力职业技术学院	河北
UNI0187	保山学院	云南
UNI0188	保险职业学院	湖南
UNI0189	信阳学院	河南
UNI0190	信阳师范学院	河南
UNI0191	信阳职业技术学院	河南
UNI0192	公安海警学院	浙江
UNI0193	六盘水师范学院	贵州
UNI0194	兰州交通大学	甘肃
UNI0195	兰州交通大学博文学院	甘肃
UNI0196	兰州外语职业学院	甘肃
UNI0197	兰州大学	甘肃
UNI0198	兰州工业学院	甘肃
UNI0199	兰州文理学院	甘肃
UNI0200	兰州理工大学	甘肃
