学校名称,平均分,年份,录取批次,招生地址,招生类型,最低分,省份,省控线,考生类别
广州航海学院,437.0,2014,本科提前批,天津,普通类,,广东,,理科
广州航海学院,429.0,2014,本科提前批,广西,普通类,,广东,,理科
中山大学,599.0,2014,本科一批,天津,普通类,591.0,广东,,文科
中山大学,630.0,2014,本科一批,天津,普通类,613.0,广东,,理科
中山大学,634.0,2014,本科一批,广西,普通类,626.0,广东,,文科
中山大学,638.0,2014,本科一批,广西,普通类,624.0,广东,,理科
中山大学,588.0,2014,本科一批,青海,普通类,575.0,广东,,文科
中山大学,578.0,2014,本科一批,青海,普通类,562.0,广东,,理科
暨南大学,560.0,2014,本科三批,广西,普通类,,广东,,文科
暨南大学,587.0,2014,本科一批,天津,普通类,,广东,,理科
暨南大学,579.0,2014,本科一批,天津,普通类,,广东,,文科
暨南大学,524.0,2014,本科三批,广西,普通类,,广东,,理科
暨南大学,542.0,2014,本科一批,青海,普通类,,广东,,理科
暨南大学,546.0,2014,本科一批,青海,普通类,,广东,,文科
暨南大学,611.0,2014,本科一批,广西,普通类,,广东,,文科
暨南大学,606.0,2014,本科一批,广西,普通类,,广东,,理科
汕头大学,584.0,2014,本科一批,广西,普通类,575.0,广东,,理科
汕头大学,593.0,2014,本科一批,广西,普通类,589.0,广东,,文科
汕头大学,367.0,2014,本科一批,广西,普通类,325.0,广东,,艺术类
华南理工大学,609.0,2014,本科一批,天津,普通类,602.0,广东,,理科
华南理工大学,608.0,2014,本科一批,广西,普通类,596.0,广东,,文科
华南理工大学,562.0,2014,本科一批,青海,普通类,533.0,广东,,理科
华南理工大学,635.0,2014,本科一批,广西,普通类,617.0,广东,,理科
华南理工大学,534.0,2014,本科一批,青海,普通类,523.0,广东,,文科
华南农业大学,516.0,2014,本科二批,天津,普通类,,广东,,理科
华南农业大学,579.0,2014,本科一批,广西,普通类,,广东,,文科
华南农业大学,549.0,2014,本科一批,广西,普通类,,广东,,理科
广东海洋大学,440.0,2014,本科二批,天津,普通类,,广东,,理科
广东海洋大学,548.0,2014,本科二批,广西,普通类,,广东,,文科
广东海洋大学,513.0,2014,本科二批,广西,普通类,,广东,,理科
广东海洋大学,437.0,2014,本科提前批,广西,普通类,,广东,,理科
广州医科大学,596.0,2014,本科一批,广西,普通类,587.0,广东,,理科
广东医科大学,448.0,2014,本科二批,天津,普通类,443.0,广东,,理科
广东医科大学,454.0,2014,本科二批,天津,普通类,454.0,广东,,文科
广东医科大学,529.0,2014,本科二批,广西,普通类,502.0,广东,,文科
广东医科大学,554.0,2014,本科二批,广西,普通类,504.0,广东,,理科
广州中医药大学,557.0,2014,本科一批,天津,普通类,,广东,,文科
广州中医药大学,552.0,2014,本科一批,天津,普通类,,广东,,理科
广州中医药大学,593.0,2014,本科一批,广西,普通类,,广东,,文科
广州中医药大学,574.0,2014,本科一批,广西,普通类,,广东,,理科
广州中医药大学,478.0,2014,本科一批,青海,普通类,,广东,,理科
广东药科大学,531.0,2014,本科二批,广西,普通类,,广东,,理科
